Make_Id,Make_Name,Model_Id,Model_Name,Engine_Type,Engine_Fuel_Type,Engine_Cylinders,Engine_Horsepower_Hp,Engine_Drive_Type,Engine_Transmission,Body_Type
1,Acura,97,ILX,gas,premium unleaded (recommended),I4,201,front wheel drive,8-speed automated manual,Sedan
1,Acura,2,MDX,gas,premium unleaded (recommended),V6,290,front wheel drive,9-speed shiftable automatic,SUV
1,Acura,98,NSX,hybrid,premium unleaded (required),V6,573,all wheel drive,9-speed automated manual,Coupe
1,Acura,99,RDX,gas,premium unleaded (recommended),I4,272,front wheel drive,10-speed shiftable automatic,SUV
1,Acura,421,RLX,gas,premium unleaded (recommended),V6,310,front wheel drive,10-speed shiftable automatic,Sedan
1,Acura,100,TLX,gas,premium unleaded (recommended),I4,206,front wheel drive,8-speed automated manual,Sedan
24,Alfa Romeo,422,4C,gas,premium unleaded (required),I4,237,rear wheel drive,6-speed automated manual,Coupe
24,Alfa Romeo,101,Giulia,gas,premium unleaded (required),I4,280,all wheel drive,8-speed shiftable automatic,Sedan
24,Alfa Romeo,102,Stelvio,gas,premium unleaded (required),I4,280,rear wheel drive,8-speed shiftable automatic,SUV
44,Aston Martin,395,DB11,gas,premium unleaded (required),V12,630,rear wheel drive,8-speed shiftable automatic,Coupe
44,Aston Martin,396,DBS Superleggera,gas,premium unleaded (required),V12,715,rear wheel drive,8-speed shiftable automatic,Coupe
44,Aston Martin,398,Vantage,gas,premium unleaded (recommended),V8,510,rear wheel drive,7-speed manual,Coupe
2,Audi,103,A3,gas,regular unleaded,I4,228,all wheel drive,7-speed automated manual,Sedan
2,Audi,104,A4,gas,premium unleaded (required),I4,188,front wheel drive,7-speed automated manual,Sedan
2,Audi,105,A4 allroad,gas,premium unleaded (recommended),I4,248,all wheel drive,7-speed automated manual,Wagon
2,Audi,3,A5,gas,premium unleaded (recommended),I4,248,all wheel drive,7-speed automated manual,Convertible
2,Audi,106,A6,mild hybrid,premium unleaded (required),I4,248,all wheel drive,7-speed automated manual,Sedan
2,Audi,107,A6 allroad,mild hybrid,premium unleaded (required),V6,335,all wheel drive,7-speed automated manual,Wagon
2,Audi,108,A7,mild hybrid,premium unleaded (required),V6,335,all wheel drive,7-speed automated manual,Sedan
2,Audi,109,A8,mild hybrid,premium unleaded (required),V8,453,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,111,e-tron Sportback,electric,electric,none,402,all wheel drive,1-speed direct drive,SUV
2,Audi,6,Q3,gas,premium unleaded (recommended),I4,228,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,7,Q5,gas,premium unleaded (recommended),I4,248,all wheel drive,7-speed automated manual,SUV
2,Audi,116,Q7,gas,premium unleaded (recommended),I4,248,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,8,Q8,mild hybrid,premium unleaded (required),V6,335,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,117,R8,gas,premium unleaded (required),V10,562,all wheel drive,7-speed automated manual,Coupe
2,Audi,118,RS 3,gas,premium unleaded (required),I5,394,all wheel drive,7-speed automated manual,Sedan
2,Audi,123,RS Q8,mild hybrid,premium unleaded (required),V8,591,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,124,S3,gas,premium unleaded (required),I4,288,all wheel drive,7-speed automated manual,Sedan
2,Audi,125,S4,gas,premium unleaded (recommended),V6,349,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,126,S5,gas,premium unleaded (recommended),V6,349,all wheel drive,8-speed shiftable automatic,Coupe
2,Audi,127,S6,mild hybrid,premium unleaded (required),V6,444,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,128,S7,mild hybrid,premium unleaded (required),V6,444,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,129,S8,mild hybrid,premium unleaded (required),V8,563,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,130,SQ5,gas,premium unleaded (required),V6,349,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,132,SQ7,hybrid,premium unleaded (required),V8,500,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,133,SQ8,hybrid,premium unleaded (required),V8,500,all wheel drive,8-speed shiftable automatic,SUV
2,Audi,134,TT,gas,premium unleaded (required),I4,228,all wheel drive,7-speed automated manual,Coupe
2,Audi,135,TT RS,gas,premium unleaded (required),I5,394,all wheel drive,7-speed automated manual,Coupe
2,Audi,136,TTS,gas,premium unleaded (required),I4,288,all wheel drive,7-speed automated manual,Coupe
25,Bentley,137,Bentayga,plug-in hybrid,premium unleaded (required),V6,443,all wheel drive,8-speed shiftable automatic,SUV
25,Bentley,138,Continental,gas,premium unleaded (required),W12,626,all wheel drive,8-speed automated manual,Convertible
25,Bentley,139,Flying Spur,gas,premium unleaded (required),W12,626,all wheel drive,8-speed automated manual,Sedan
25,Bentley,423,Mulsanne,gas,premium unleaded (required),V8,505,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,140,2 Series,gas,premium unleaded (recommended),I4,248,rear wheel drive,8-speed shiftable automatic,Convertible
3,BMW,141,2 Series Gran Coupe,gas,premium unleaded (required),I4,228,all wheel drive,8-speed shiftable automatic,Sedan
3,BMW,9,3 Series,gas,premium unleaded (recommended),I4,255,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,10,4 Series,gas,premium unleaded (recommended),I4,248,rear wheel drive,8-speed shiftable automatic,Convertible
3,BMW,11,4 Series Gran Coupe,gas,premium unleaded (recommended),I4,248,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,142,5 Series,plug-in hybrid,premium unleaded (recommended),I4,248,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,143,7 Series,gas,premium unleaded (required),I6,335,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,12,8 Series,gas,premium unleaded (recommended),I6,335,rear wheel drive,8-speed shiftable automatic,Coupe
3,BMW,13,8 Series Gran Coupe,gas,premium unleaded (recommended),I6,335,rear wheel drive,8-speed shiftable automatic,Sedan
3,BMW,144,ALPINA B7,gas,premium unleaded (required),V8,600,all wheel drive,8-speed shiftable automatic,Sedan
3,BMW,399,i3,plug-in hybrid,electric,I2,168,rear wheel drive,1-speed direct drive,Hatchback
3,BMW,424,i8,plug-in hybrid,premium unleaded (required),I3,369,all wheel drive,6-speed shiftable automatic,Coupe
3,BMW,147,X1,gas,premium unleaded (recommended),I4,228,front wheel drive,8-speed shiftable automatic,SUV
3,BMW,16,X2,gas,premium unleaded (recommended),I4,301,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,148,X3,gas,premium unleaded (required),I6,473,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,149,X4,gas,premium unleaded (required),I6,473,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,150,X5,gas,premium unleaded (required),V8,600,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,151,X6,gas,premium unleaded (required),V8,600,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,152,X7,gas,premium unleaded (recommended),V8,523,all wheel drive,8-speed shiftable automatic,SUV
3,BMW,153,Z4,gas,premium unleaded (recommended),I6,382,rear wheel drive,8-speed shiftable automatic,Convertible
4,Buick,17,Enclave,gas,regular unleaded,V6,310,all wheel drive,9-speed shiftable automatic,SUV
4,Buick,154,Encore,gas,regular unleaded,I4,138,front wheel drive,6-speed shiftable automatic,SUV
4,Buick,18,Encore GX,gas,regular unleaded,I3,155,all wheel drive,9-speed shiftable automatic,SUV
4,Buick,19,Envision,gas,regular unleaded,I4,197,front wheel drive,6-speed shiftable automatic,SUV
4,Buick,425,Regal Sportback,gas,premium unleaded (recommended),I4,250,front wheel drive,9-speed shiftable automatic,Hatchback
4,Buick,426,Regal TourX,gas,premium unleaded (recommended),I4,250,all wheel drive,8-speed shiftable automatic,Wagon
5,Cadillac,20,CT4,gas,premium unleaded (recommended),I4,237,rear wheel drive,8-speed shiftable automatic,Sedan
5,Cadillac,21,CT5,gas,premium unleaded (recommended),I4,237,rear wheel drive,10-speed shiftable automatic,Sedan
5,Cadillac,427,CT6,gas,regular unleaded,V6,335,all wheel drive,10-speed shiftable automatic,Sedan
5,Cadillac,428,CT6-V,gas,premium unleaded (required),V8,550,all wheel drive,10-speed shiftable automatic,Sedan
5,Cadillac,22,Escalade,gas,premium unleaded (recommended),V8,420,rear wheel drive,10-speed shiftable automatic,SUV
5,Cadillac,23,Escalade ESV,gas,premium unleaded (recommended),V8,420,rear wheel drive,10-speed shiftable automatic,SUV
5,Cadillac,25,XT4,gas,premium unleaded (recommended),I4,237,front wheel drive,9-speed shiftable automatic,SUV
5,Cadillac,26,XT5,gas,premium unleaded (recommended),I4,237,front wheel drive,9-speed shiftable automatic,SUV
5,Cadillac,27,XT6,gas,regular unleaded,V6,310,front wheel drive,9-speed shiftable automatic,SUV
6,Chevrolet,157,Blazer,flex-fuel (FFV),flex-fuel (unleaded/E85),I4,193,front wheel drive,9-speed shiftable automatic,SUV
6,Chevrolet,29,Bolt EV,electric,electric,none,200,front wheel drive,1-speed direct drive,Hatchback
6,Chevrolet,158,Camaro,gas,premium unleaded (recommended),I4,275,rear wheel drive,6-speed manual,Coupe
6,Chevrolet,159,Colorado,gas,regular unleaded,I4,200,rear wheel drive,6-speed shiftable automatic,Truck (Extended Cab)
6,Chevrolet,30,Corvette,gas,premium unleaded (recommended),V8,490,rear wheel drive,8-speed automated manual,Convertible
6,Chevrolet,160,Equinox,gas,regular unleaded,I4,170,front wheel drive,6-speed shiftable automatic,SUV
6,Chevrolet,161,Express,gas,regular unleaded,V6,276,rear wheel drive,8-speed automatic,Van
6,Chevrolet,162,Express Cargo,gas,regular unleaded,V6,276,rear wheel drive,8-speed automatic,Van
6,Chevrolet,429,Impala,flex-fuel (FFV),flex-fuel (unleaded/E85),V6,305,front wheel drive,6-speed shiftable automatic,Sedan
6,Chevrolet,163,Malibu,gas,regular unleaded,I4,160,front wheel drive,continuously variable-speed automatic,Sedan
6,Chevrolet,165,Silverado 1500,flex-fuel (FFV),flex-fuel (unleaded/E85),V6,285,four wheel drive,6-speed shiftable automatic,Truck (Double Cab)
6,Chevrolet,166,Silverado 2500HD,gas,regular unleaded,V8,401,rear wheel drive,6-speed shiftable automatic,Truck (Double Cab)
6,Chevrolet,167,Silverado 3500HD,gas,regular unleaded,V8,401,four wheel drive,6-speed shiftable automatic,Truck (Crew Cab)
6,Chevrolet,430,Sonic,gas,regular unleaded,I4,138,front wheel drive,6-speed shiftable automatic,Sedan
6,Chevrolet,168,Spark,gas,regular unleaded,I4,98,front wheel drive,continuously variable-speed automatic,Hatchback
6,Chevrolet,31,Suburban,flex-fuel (FFV),flex-fuel (unleaded/E85),V8,355,four wheel drive,6-speed shiftable automatic,SUV
6,Chevrolet,32,Tahoe,flex-fuel (FFV),flex-fuel (unleaded/E85),V8,355,rear wheel drive,6-speed shiftable automatic,SUV
6,Chevrolet,34,Traverse,gas,regular unleaded,V6,305,front wheel drive,9-speed shiftable automatic,SUV
6,Chevrolet,169,Trax,gas,regular unleaded,I4,138,front wheel drive,6-speed shiftable automatic,SUV
26,Chrysler,170,300,gas,regular unleaded,V8,363,rear wheel drive,8-speed shiftable automatic,Sedan
26,Chrysler,171,Pacifica,gas,regular unleaded,V6,287,all wheel drive,9-speed shiftable automatic,Minivan
26,Chrysler,172,Voyager,gas,regular unleaded,V6,287,front wheel drive,9-speed automatic,Minivan
27,Dodge,173,Challenger,gas,regular unleaded,V6,305,all wheel drive,8-speed shiftable automatic,Coupe
27,Dodge,174,Charger,gas,regular unleaded,V6,300,rear wheel drive,8-speed shiftable automatic,Sedan
27,Dodge,175,Durango,gas,regular unleaded,V6,295,all wheel drive,8-speed shiftable automatic,SUV
27,Dodge,431,Grand Caravan,gas,regular unleaded,V6,283,front wheel drive,6-speed shiftable automatic,Minivan
27,Dodge,432,Journey,gas,regular unleaded,I4,172,front wheel drive,4-speed shiftable automatic,SUV
28,FIAT,433,124 Spider,gas,premium unleaded (recommended),I4,164,rear wheel drive,6-speed manual,Convertible
28,FIAT,434,500L,gas,premium unleaded (recommended),I4,160,front wheel drive,6-speed shiftable automatic,Wagon
28,FIAT,176,500X,gas,premium unleaded (recommended),I4,177,all wheel drive,9-speed shiftable automatic,SUV
29,Ford,179,EcoSport,gas,regular unleaded,I3,123,front wheel drive,6-speed shiftable automatic,SUV
29,Ford,180,Edge,gas,premium unleaded (recommended),I4,250,front wheel drive,8-speed automatic,SUV
29,Ford,181,Escape,gas,regular unleaded,I3,180,front wheel drive,8-speed automatic,SUV
29,Ford,184,Expedition,gas,regular unleaded,V6,375,rear wheel drive,10-speed shiftable automatic,SUV
29,Ford,185,Explorer,gas,regular unleaded,I4,300,all wheel drive,10-speed shiftable automatic,SUV
29,Ford,186,F-150,flex-fuel (FFV),flex-fuel (unleaded/E85),V8,395,rear wheel drive,10-speed shiftable automatic,Truck (SuperCrew)
29,Ford,188,F-250 Super Duty,flex-fuel (FFV),flex-fuel (unleaded/E85),V8,385,rear wheel drive,6-speed shiftable automatic,Truck (Crew Cab)
29,Ford,189,F-350 Super Duty,flex-fuel (FFV),flex-fuel (unleaded/E85),V8,385,rear wheel drive,10-speed shiftable automatic,Truck (Crew Cab)
29,Ford,190,F-450 Super Duty,diesel,diesel fuel,V8,475,four wheel drive,10-speed shiftable automatic,Truck (Crew Cab)
29,Ford,435,Fusion,gas,regular unleaded,I4,173,front wheel drive,6-speed automatic,Sedan
29,Ford,436,Fusion Energi,plug-in hybrid,regular unleaded,I4,188,front wheel drive,continuously variable-speed automatic,Sedan
29,Ford,437,Fusion Hybrid,hybrid,regular unleaded,I4,188,front wheel drive,continuously variable-speed automatic,Sedan
29,Ford,192,Mustang,gas,premium unleaded (recommended),V8,480,rear wheel drive,6-speed manual,Coupe
29,Ford,194,Ranger,gas,regular unleaded,I4,270,rear wheel drive,10-speed shiftable automatic,Truck (SuperCab)
29,Ford,438,Shelby GT350,gas,premium unleaded (recommended),V8,526,rear wheel drive,6-speed manual,Coupe
29,Ford,195,Shelby GT500,gas,premium unleaded (recommended),V8,760,rear wheel drive,7-speed automated manual,Coupe
29,Ford,196,Transit Cargo Van,flex-fuel (FFV),,V6,275,all wheel drive,10-speed shiftable automatic,Van
29,Ford,400,Transit Connect,gas,regular unleaded,I4,162,front wheel drive,8-speed shiftable automatic,Minivan
29,Ford,199,Transit Crew Van,flex-fuel (FFV),,V6,275,rear wheel drive,10-speed shiftable automatic,Van
29,Ford,200,Transit Passenger Van,flex-fuel (FFV),,V6,275,rear wheel drive,10-speed shiftable automatic,Van
7,Genesis,35,G70,gas,premium unleaded (required),I4,252,rear wheel drive,8-speed shiftable automatic,Sedan
7,Genesis,201,G80,gas,premium unleaded (recommended),V6,365,rear wheel drive,8-speed shiftable automatic,Sedan
7,Genesis,202,G90,gas,premium unleaded (recommended),V6,365,all wheel drive,8-speed shiftable automatic,Sedan
8,GMC,39,Acadia,gas,regular unleaded,V6,310,all wheel drive,9-speed shiftable automatic,SUV
8,GMC,203,Canyon,gas,regular unleaded,V6,308,four wheel drive,8-speed shiftable automatic,Truck (Crew Cab)
8,GMC,205,Savana,gas,regular unleaded,V6,276,rear wheel drive,8-speed automatic,Van
8,GMC,206,Savana Cargo,gas,regular unleaded,V6,276,rear wheel drive,8-speed automatic,Ext Van
8,GMC,207,Sierra 1500,gas,regular unleaded,V8,355,four wheel drive,10-speed shiftable automatic,Truck (Double Cab)
8,GMC,209,Sierra 2500HD,gas,regular unleaded,V8,401,four wheel drive,6-speed shiftable automatic,Truck (Crew Cab)
8,GMC,210,Sierra 3500HD,gas,regular unleaded,V8,401,four wheel drive,6-speed shiftable automatic,Truck (Crew Cab)
8,GMC,211,Terrain,gas,premium unleaded (recommended),I4,252,all wheel drive,9-speed shiftable automatic,SUV
8,GMC,212,Yukon,gas,premium unleaded (recommended),V8,420,rear wheel drive,10-speed shiftable automatic,SUV
8,GMC,213,Yukon XL,gas,premium unleaded (recommended),V8,420,four wheel drive,10-speed shiftable automatic,SUV
9,Honda,214,Accord,gas,regular unleaded,I4,192,front wheel drive,continuously variable-speed automatic,Sedan
9,Honda,215,Accord Hybrid,hybrid,regular unleaded,I4,212,front wheel drive,continuously variable-speed automatic,Sedan
9,Honda,216,Civic,gas,regular unleaded,I4,174,front wheel drive,continuously variable-speed automatic,Hatchback
9,Honda,401,Clarity,electric (fuel cell),hydrogen,none,174,front wheel drive,1-speed direct drive,Sedan
9,Honda,217,CR-V,gas,regular unleaded,I4,190,front wheel drive,continuously variable-speed automatic,SUV
9,Honda,218,CR-V Hybrid,hybrid,regular unleaded,I4,212,all wheel drive,continuously variable-speed automatic,SUV
9,Honda,439,Fit,gas,regular unleaded,I4,128,front wheel drive,continuously variable-speed automatic,Hatchback
9,Honda,40,HR-V,gas,regular unleaded,I4,141,front wheel drive,continuously variable-speed automatic,SUV
9,Honda,219,Insight,hybrid,regular unleaded,I4,151,front wheel drive,continuously variable-speed automatic,Sedan
9,Honda,41,Odyssey,gas,regular unleaded,V6,280,front wheel drive,10-speed shiftable automatic,Minivan
9,Honda,220,Passport,gas,regular unleaded,V6,280,all wheel drive,9-speed shiftable automatic,SUV
9,Honda,221,Pilot,gas,regular unleaded,V6,280,all wheel drive,9-speed shiftable automatic,SUV
9,Honda,222,Ridgeline,gas,regular unleaded,V6,280,all wheel drive,9-speed automatic,Truck (Crew Cab)
10,Hyundai,223,Accent,gas,regular unleaded,I4,120,front wheel drive,continuously variable-speed automatic,Sedan
10,Hyundai,42,Elantra,gas,regular unleaded,I4,128,front wheel drive,7-speed automated manual,Sedan
10,Hyundai,440,Elantra GT,gas,regular unleaded,I4,161,front wheel drive,6-speed shiftable automatic,Hatchback
10,Hyundai,402,Ioniq Electric,electric,electric,none,134,front wheel drive,1-speed direct drive,Hatchback
10,Hyundai,225,Ioniq Hybrid,hybrid,regular unleaded,I4,139,front wheel drive,6-speed automated manual,Hatchback
10,Hyundai,226,Ioniq Plug-In Hybrid,plug-in hybrid,regular unleaded,I4,139,front wheel drive,6-speed automated manual,Hatchback
10,Hyundai,227,Kona,gas,regular unleaded,I4,175,all wheel drive,7-speed automated manual,SUV
10,Hyundai,228,Kona Electric,electric,electric,none,201,front wheel drive,1-speed direct drive,SUV
10,Hyundai,229,NEXO,electric (fuel cell),hydrogen,none,161,front wheel drive,1-speed direct drive,SUV
10,Hyundai,43,Palisade,gas,regular unleaded,V6,291,all wheel drive,8-speed shiftable automatic,SUV
10,Hyundai,44,Santa Fe,gas,regular unleaded,I4,185,all wheel drive,8-speed shiftable automatic,SUV
10,Hyundai,233,Sonata,gas,regular unleaded,I4,180,front wheel drive,8-speed shiftable automatic,Sedan
10,Hyundai,234,Sonata Hybrid,hybrid,regular unleaded,I4,192,front wheel drive,6-speed shiftable automatic,Sedan
10,Hyundai,235,Tucson,gas,regular unleaded,I4,181,all wheel drive,6-speed shiftable automatic,SUV
10,Hyundai,237,Veloster,gas,regular unleaded,I4,147,front wheel drive,6-speed manual,Hatchback
10,Hyundai,238,Venue,gas,regular unleaded,I4,121,front wheel drive,continuously variable-speed automatic,Hatchback
11,INFINITI,45,Q50,gas,premium unleaded (required),V6,300,rear wheel drive,7-speed shiftable automatic,Sedan
11,INFINITI,239,Q60,gas,premium unleaded (required),V6,300,rear wheel drive,7-speed shiftable automatic,Coupe
11,INFINITI,240,QX50,gas,premium unleaded (recommended),I4,268,all wheel drive,continuously variable-speed automatic,SUV
11,INFINITI,241,QX60,gas,premium unleaded (recommended),V6,295,front wheel drive,continuously variable-speed automatic,SUV
11,INFINITI,242,QX80,gas,premium unleaded (recommended),V8,400,four wheel drive,7-speed shiftable automatic,SUV
12,Jaguar,47,E-PACE,gas,premium unleaded (required),I4,246,all wheel drive,9-speed shiftable automatic,SUV
12,Jaguar,48,F-PACE,gas,premium unleaded (required),I4,247,all wheel drive,8-speed shiftable automatic,SUV
12,Jaguar,49,F-TYPE,gas,premium unleaded (required),I4,296,rear wheel drive,8-speed shiftable automatic,Convertible
12,Jaguar,50,I-PACE,electric,electric,none,394,all wheel drive,1-speed direct drive,Hatchback
12,Jaguar,441,XE,gas,premium unleaded (required),I4,296,all wheel drive,8-speed automatic,Sedan
12,Jaguar,51,XF,gas,premium unleaded (required),I4,247,rear wheel drive,8-speed shiftable automatic,Sedan
30,Jeep,243,Cherokee,gas,regular unleaded,I4,180,front wheel drive,9-speed shiftable automatic,SUV
30,Jeep,244,Compass,gas,regular unleaded,I4,180,four wheel drive,9-speed shiftable automatic,SUV
30,Jeep,245,Gladiator,gas,regular unleaded,V6,285,four wheel drive,6-speed manual,Truck (Crew Cab)
30,Jeep,246,Grand Cherokee,gas,regular unleaded,V6,293,four wheel drive,8-speed shiftable automatic,SUV
30,Jeep,251,Renegade,gas,regular unleaded,I4,180,front wheel drive,9-speed automatic,SUV
30,Jeep,253,Wrangler,gas,regular unleaded,V6,285,four wheel drive,6-speed manual,SUV
